plant,priority,evidence,plant_part,chemical_lead,fungal_result,dose_and_assay,behavioral_relation,ant_and_cultivar,source_ids,source_locator,limitations,validation_status,candidate_id,original_urls,local_originals
Gallesia integrifolia,3 — Tentative,Paired choice + numerically lower cultivar growth,Fresh leaves; aqueous extract,Active compound unresolved,Growth lower numerically; no clear difference versus untreated control by shared Tukey letters,6 g leaves/12 mL water; 5 mL extract into medium; autoclaved; four plates/treatment; 21 days,Low collection in six-plant assay,Atta sexdens; symbiotic cultivar,aredes2018,"PDF pp.55–61, Fig.3 visually checked","Fig.3 day 21: Gallesia bc, control ab. Do not call statistically established inhibition. Final medium volume ambiguous.",Original full text: relevant methods/results checked,P039,https://uenf.br/posgraduacao/producao-vegetal/wp-content/uploads/sites/10/2019/02/TESE-final-An%C3%A1lia-Ar%C3%AAdes.pdf,sources/aredes_thesis.pdf
Cedrela fissilis,2 — Direct assay,Cultivar assay in Portuguese thesis,Roots,Unresolved polyketide mixture,100% by a polyketide mixture,42 µg/mL,Avoidance not established,Atta sexdens; symbiotic cultivar,godoy2003,"PDF p.45, Table 2",Do not substitute antibacterial results from adjacent tables. Unresolved species/fractions cannot support exact molecule attribution.,Original full text: relevant methods/results checked,P040,https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content,sources/godoy_thesis.pdf
Cipadessa fruticosa,2 — Direct assay,Cultivar assay in Portuguese thesis,Branches/fruits/fruit husks,Unresolved active fractions,80% for hexane branch and DCM fruit extracts,1000 µg/mL; aqueous fruit-husk extract 732 µg/mL,Avoidance not established,Atta sexdens; symbiotic cultivar,godoy2003,"PDF p.51, Table 4",Do not substitute antibacterial results from adjacent tables. Unresolved species/fractions cannot support exact molecule attribution.,Original full text: relevant methods/results checked,P041,https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content,sources/godoy_thesis.pdf
Trichilia rubra,2 — Direct assay,Cultivar assay in Portuguese thesis,Leaves,Hexane-soluble active fraction unresolved,100% by leaf hexane fraction,500 µg/mL,Avoidance not established,Atta sexdens; symbiotic cultivar,godoy2003,"PDF p.59, Table 7",Do not substitute antibacterial results from adjacent tables. Unresolved species/fractions cannot support exact molecule attribution.,Original full text: relevant methods/results checked,P042,https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content,sources/godoy_thesis.pdf
Trichilia pallida,3 — Tentative,Cultivar assay in Portuguese thesis,Leaves,Unresolved,40% hexane; 20% methanol,1000 µg/mL,Avoidance not established,Atta sexdens; symbiotic cultivar,godoy2003,"PDF p.59, Table 7",Do not substitute antibacterial results from adjacent tables. Unresolved species/fractions cannot support exact molecule attribution.,Original full text: relevant methods/results checked,P043,https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content,sources/godoy_thesis.pdf
Trichilia sp.,3 — Tentative,Cultivar assay in Portuguese thesis,Fruits,Palmitic and oleic acids,Active fractions/constituents reported,Dose pending,Avoidance not established,Atta sexdens; symbiotic cultivar,godoy2003,Abstract and Trichilia results,Do not substitute antibacterial results from adjacent tables. Unresolved species/fractions cannot support exact molecule attribution.,Original full text: relevant methods/results checked,P044,https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content,sources/godoy_thesis.pdf
Conchocarpus longifolius,2 — Direct assay,Cultivar assay in Portuguese thesis,Petioles,Furanocoumarin-rich fractions,100% by hexane and DCM crude extracts,1000 µg/mL,Avoidance not established,Atta sexdens; symbiotic cultivar,godoy2003,"PDF p.65, Table 11",Do not substitute antibacterial results from adjacent tables. Unresolved species/fractions cannot support exact molecule attribution.,Original full text: relevant methods/results checked,P045,https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content,sources/godoy_thesis.pdf
Protium heptaphyllum,2 — Direct assay,Cultivar assay in Portuguese thesis,Branches,Active low-polarity fractions unresolved,High inhibition by hexane/DCM branch extracts and some fractions,Dose pending table validation,Avoidance not established,Atta sexdens; symbiotic cultivar,godoy2003,Abstract and Table 9,Do not substitute antibacterial results from adjacent tables. Unresolved species/fractions cannot support exact molecule attribution.,Original full text: relevant methods/results checked,P046,https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content,sources/godoy_thesis.pdf
Thyrsodium schomburgkianum,3 — Tentative,Conference cultivar assay,Stem (Thyrsodium); roots (Picramnia),Unresolved low/intermediate polarity compounds,Stem hexane 42%; stem DCM 50% inhibition,Dose not supplied on one-page abstract,No choice test,Atta sexdens rubropilosa; L. gongylophorus,kitamura2011,"PDF p.1, Figs.1–2",Preliminary partial inhibition; dose missing.,Original full text: relevant methods/results checked,P047,https://www.sbq.org.br/34ra/cdrom/resumos/T2230-1.pdf,sources/sbq2011.pdf
Picramnia bahiensis,3 — Tentative,Conference cultivar assay,Stem (Thyrsodium); roots (Picramnia),Chrysophanol from roots,Chrysophanol 21% inhibition,Dose not supplied on one-page abstract,No choice test,Atta sexdens rubropilosa; L. gongylophorus,kitamura2011,"PDF p.1, Figs.1–2",Preliminary partial inhibition; dose missing.,Original full text: relevant methods/results checked,P048,https://www.sbq.org.br/34ra/cdrom/resumos/T2230-1.pdf,sources/sbq2011.pdf
Croton floribundus,3 — Tentative,Cultivar growth and gongylidia measured,Bark (Croton); leaves (Zanthoxylum),"Fraction-specific, unresolved",Some fractions increase growth yet suppress gongylidia; crude Croton extract reduced growth in one comparison,Multiple solvent/fraction treatments; dose-specific extraction pending,Ant toxicity is separately measured,Atta sexdens; L. gongylophorus,santos2013,PDF pp.7–8 summary; third bioassay chapter,Not a simple fungicide-positive label. Solvent itself affected gongylidia; repeat experiment showed comparable biomass.,Original full text: relevant methods/results checked,P049,https://repositorio.ufla.br/handle/1/1614,sources/santos2013.pdf
Zanthoxylum pohlianum,3 — Tentative,Cultivar growth and gongylidia measured,Bark (Croton); leaves (Zanthoxylum),"Fraction-specific, unresolved",Some fractions increase growth yet suppress gongylidia; crude Croton extract reduced growth in one comparison,Multiple solvent/fraction treatments; dose-specific extraction pending,Ant toxicity is separately measured,Atta sexdens; L. gongylophorus,santos2013,PDF pp.7–8 summary; third bioassay chapter,Not a simple fungicide-positive label. Solvent itself affected gongylidia; repeat experiment showed comparable biomass.,Original full text: relevant methods/results checked,P050,https://repositorio.ufla.br/handle/1/1614,sources/santos2013.pdf
Phaseolus lunatus,3 — Tentative,Synthetic plant-volatile components against cultivar,Induced leaves; simulated emitted blend,Linalool; jasmonic acid; HIPV blend,High-dose components/blend suppressed growth; effects depend on medium and dose,"Agar: 1000 µg treatments; mixture inhibitory at 100 µg; these are masses, not MICs",Individual ant odor tests lacked aversion; colony learning mechanism proposed,Atta colombica; L. gongylophorus,stephan2010,"Printed pp.45–49,67 / PDF 49–53,71",Contamination reduced replication; synthetic blend is not proof that every lima-bean leaf harms a garden.,Original full text: relevant methods/results checked,P051,https://kluedo.ub.rptu.de/files/2239/Diplomarbeit.pdf,sources/stephan2010.pdf
Zingiber officinale,2 — Direct assay,2026 essential-oil cultivar assay,Rhizomes,Camphene/β-phellandrene-rich oil,Complete suppression at 100 mg/mL application solution; concentration effect above 10 mg/mL,100 µL oil solution spread onto 10 mL agar; initial solution 100 mg/mL; 30 days,"Caste toxicity, not plant preference, measured",Atta sexdens-derived L. gongylophorus,oils2026,"Original JATS §§2.2,2.5,3.4; Figs.4–5",Nominal surface-application concentration cannot be compared directly to broth MIC. Whole-oil chemistry does not identify sole active constituent.,Original full text: relevant methods/results checked,P052,https://doi.org/10.3390/insects17060645,
Melaleuca viminalis,3 — Tentative,2026 essential-oil cultivar assay,Leaves,"1,8-Cineole-rich oil",Complete suppression in initial screen; follow-up concentration response not significant,100 µL oil solution spread onto 10 mL agar; initial solution 100 mg/mL; 30 days,"Caste toxicity, not plant preference, measured",Atta sexdens-derived L. gongylophorus,oils2026,"Original JATS §§2.2,2.5,3.4; Figs.4–5",Nominal surface-application concentration cannot be compared directly to broth MIC. Whole-oil chemistry does not identify sole active constituent.,Original full text: relevant methods/results checked,P053,https://doi.org/10.3390/insects17060645,
Eugenia uniflora,3 — Tentative,2026 essential-oil cultivar assay,Leaves,Germacrone-rich oil,Partial inhibition at screen level,100 µL oil solution spread onto 10 mL agar; initial solution 100 mg/mL; 30 days,"Caste toxicity, not plant preference, measured",Atta sexdens-derived L. gongylophorus,oils2026,"Original JATS §§2.2,2.5,3.4; Figs.4–5",Nominal surface-application concentration cannot be compared directly to broth MIC. Whole-oil chemistry does not identify sole active constituent.,Original full text: relevant methods/results checked,P054,https://doi.org/10.3390/insects17060645,
Salix babylonica,3 — Tentative,2026 essential-oil cultivar assay,Leaves,Bicyclogermacrene/spathulenol-rich oil,Moderate inhibition at screen level,100 µL oil solution spread onto 10 mL agar; initial solution 100 mg/mL; 30 days,"Caste toxicity, not plant preference, measured",Atta sexdens-derived L. gongylophorus,oils2026,"Original JATS §§2.2,2.5,3.4; Figs.4–5",Nominal surface-application concentration cannot be compared directly to broth MIC. Whole-oil chemistry does not identify sole active constituent.,Original full text: relevant methods/results checked,P055,https://doi.org/10.3390/insects17060645,
Piper nigrum,3 — Tentative,2026 essential-oil cultivar assay,Dried peppercorns,Caryophyllene/limonene-rich oil,Moderate inhibition at screen level,100 µL oil solution spread onto 10 mL agar; initial solution 100 mg/mL; 30 days,"Caste toxicity, not plant preference, measured",Atta sexdens-derived L. gongylophorus,oils2026,"Original JATS §§2.2,2.5,3.4; Figs.4–5",Nominal surface-application concentration cannot be compared directly to broth MIC. Whole-oil chemistry does not identify sole active constituent.,Original full text: relevant methods/results checked,P056,https://doi.org/10.3390/insects17060645,
Grindelia pulchella,3 — Tentative,Positive TLC cultivar screen,Extract; part/voucher supplement pending,Unresolved,TLC + inhibition,500 µg/spot; no broth MIC retrieved,AFI 25 at 100 µg/cm²,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Table 1",Single screening dose; no isolated molecule. Negative AFI means attraction.,Original full text: relevant methods/results checked,P057,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Baccharis flabellata,3 — Tentative,Positive TLC cultivar screen,Extract; part/voucher supplement pending,Unresolved,TLC ++ inhibition,500 µg/spot; no broth MIC retrieved,AFI 0 at 100 µg/cm²,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Table 1",Single screening dose; no isolated molecule. Negative AFI means attraction.,Original full text: relevant methods/results checked,P058,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Dalea elegans var. elegans,3 — Tentative,Positive TLC cultivar screen,Extract; part/voucher supplement pending,Unresolved,TLC ++ inhibition,500 µg/spot; no broth MIC retrieved,AFI 0 at 100 µg/cm²,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Table 1",Single screening dose; no isolated molecule. Negative AFI means attraction.,Original full text: relevant methods/results checked,P059,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Baccharis coridifolia,3 — Tentative,Positive TLC cultivar screen,Extract; part/voucher supplement pending,Unresolved,TLC + inhibition,500 µg/spot; no broth MIC retrieved,AFI 0 at 100 µg/cm²,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Table 1",Single screening dose; no isolated molecule. Negative AFI means attraction.,Original full text: relevant methods/results checked,P060,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Baccharis linearifolia,3 — Tentative,Positive TLC cultivar screen,Extract; part/voucher supplement pending,Unresolved,TLC + inhibition,500 µg/spot; no broth MIC retrieved,AFI 0 at 100 µg/cm²,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Table 1",Single screening dose; no isolated molecule. Negative AFI means attraction.,Original full text: relevant methods/results checked,P061,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Trichocline reptans,3 — Tentative,Positive TLC cultivar screen,Extract; part/voucher supplement pending,Unresolved,TLC + inhibition,500 µg/spot; no broth MIC retrieved,AFI 0 at 100 µg/cm²,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Table 1",Single screening dose; no isolated molecule. Negative AFI means attraction.,Original full text: relevant methods/results checked,P062,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Achyrocline tomentosa,3 — Tentative,Positive TLC cultivar screen,Extract; part/voucher supplement pending,Unresolved,TLC + inhibition,500 µg/spot; no broth MIC retrieved,AFI -20 at 100 µg/cm²,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Table 1",Single screening dose; no isolated molecule. Negative AFI means attraction.,Original full text: relevant methods/results checked,P063,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Zanthoxylum coco,3 — Tentative,Positive TLC cultivar screen,Extract; part/voucher supplement pending,Unresolved,TLC ++ inhibition,500 µg/spot; no broth MIC retrieved,AFI -25 at 100 µg/cm²,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Table 1",Single screening dose; no isolated molecule. Negative AFI means attraction.,Original full text: relevant methods/results checked,P064,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Gaillardia megapotamica var. megapotamica,4 — Negative/control,Repellent without cultivar inhibition,Extract,Ant-deterrent constituent(s) unresolved,No TLC inhibition; broth MIC >500 µg/mL,AFI100 at 100 µg/cm²; TLC500 µg/spot,Complete collection rejection,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Tables 1–2",Demonstrates that chemical deterrence is not sufficient evidence of cultivar toxicity.,Original full text: relevant methods/results checked,P065,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Lantana grisebachii var. grisebachii,4 — Negative/control,Repellent without cultivar inhibition,Extract,Ant-deterrent constituent(s) unresolved,No TLC inhibition; broth MIC >500 µg/mL,AFI100 at 100 µg/cm²; TLC500 µg/spot,Complete collection rejection,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Tables 1–2",Demonstrates that chemical deterrence is not sufficient evidence of cultivar toxicity.,Original full text: relevant methods/results checked,P066,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Lithrea molleoides,4 — Negative/control,Repellent without cultivar inhibition,Extract,Ant-deterrent constituent(s) unresolved,No TLC inhibition; broth MIC >500 µg/mL,AFI100 at 100 µg/cm²; TLC500 µg/spot,Complete collection rejection,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Tables 1–2",Demonstrates that chemical deterrence is not sufficient evidence of cultivar toxicity.,Original full text: relevant methods/results checked,P067,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Syzygium cumini,4 — Negative/control,Paired behavior/growth control,Leaves,No harmful compound established,"Low collection, but good fungal growth",See source-specific assay,Comparison/control,Atta sexdens or A. mexicana,aredes2018,Relevant results figures,Avoidance and fungal harm can diverge; not a universal claim of safety.,Original full text: relevant methods/results checked,P068,https://uenf.br/posgraduacao/producao-vegetal/wp-content/uploads/sites/10/2019/02/TESE-final-An%C3%A1lia-Ar%C3%AAdes.pdf,sources/aredes_thesis.pdf
Palicourea padifolia,4 — Negative/control,Paired behavior/growth control,Leaves,No harmful compound established,Preferred; fungal diameter37.33 ±4.16 mm vs control 28 ±2 mm,See source-specific assay,Comparison/control,Atta sexdens or A. mexicana,infante2026,Relevant results figures,Avoidance and fungal harm can diverge; not a universal claim of safety.,Original full text: relevant methods/results checked,P069,https://doi.org/10.17129/botsci.3671,sources/infante2026.pdf
Ligustrum japonicum,4 — Negative/control,Paired behavior/growth control,Leaves,No harmful compound established,Accepted and supported growth,See source-specific assay,Comparison/control,Atta sexdens or A. mexicana,aredes2018,Relevant results figures,Avoidance and fungal harm can diverge; not a universal claim of safety.,Original full text: relevant methods/results checked,P070,https://uenf.br/posgraduacao/producao-vegetal/wp-content/uploads/sites/10/2019/02/TESE-final-An%C3%A1lia-Ar%C3%AAdes.pdf,sources/aredes_thesis.pdf
Rosa alba,4 — Negative/control,Paired behavior/growth control,Leaves,No harmful compound established,Accepted and supported growth,See source-specific assay,Comparison/control,Atta sexdens or A. mexicana,aredes2018,Relevant results figures,Avoidance and fungal harm can diverge; not a universal claim of safety.,Original full text: relevant methods/results checked,P071,https://uenf.br/posgraduacao/producao-vegetal/wp-content/uploads/sites/10/2019/02/TESE-final-An%C3%A1lia-Ar%C3%AAdes.pdf,sources/aredes_thesis.pdf
Dioscorea cayenensis subsp. cayenensis,3 — Tentative,Chemical feeding deterrence,Leaves,Saponins proposed,Cultivar-specific chemical toxicity not established,Methanol-extractable deterrence; no dose-normalized cultivar assay verified,Avoided compared with other yams; forced diet could kill colony,Acromyrmex octospinosus,febvay1985,Original article pp.439–444,Starvation from refusing substrate can explain colony death.,Original full text: relevant methods/results checked,P072,https://hal.inrae.fr/hal-02726165,sources/febvay1986.pdf
Tithonia diversifolia,3 — Tentative,Enforced diet / garden effects,Leaves,Active garden-toxic molecule unresolved,Garden deterioration in forced-diet experiment,Whole colony/diet endpoint,Acceptance/continued consumption variable,Atta cephalotes,enforced2009,Original abstract; compare ant-only Tithonia studies,"Garden loss may reflect nutrition, starvation, ant toxicity, or direct fungal harm; not isolated chemical proof.",Original abstract checked; full methods not checked,P073,https://doi.org/10.1111/j.1439-0418.2009.01421.x,
Canavalia ensiformis,3 — Tentative,Enforced diet / garden effects,Leaves,Active garden-toxic molecule unresolved,Garden deterioration in forced-diet experiment,Whole colony/diet endpoint,Acceptance/continued consumption variable,Atta cephalotes,enforced2009,Original abstract; compare ant-only Tithonia studies,"Garden loss may reflect nutrition, starvation, ant toxicity, or direct fungal harm; not isolated chemical proof.",Original abstract checked; full methods not checked,P074,https://doi.org/10.1111/j.1439-0418.2009.01421.x,
Annona muricata,3 — Tentative,Paired-choice university report; solvent confound,Leaves; ethanol extracts,Unresolved; qualitative phytochemical tests,Report describes decline of fungal inocula,2% v/v extract; 7 plates/treatment; four weeks,Ten plants initially without cutting signs; accepted Schinus/Nageia also inhibited,Atta cephalotes; L. gongylophorus,eafit_report,"PDF pp.4–5,10–14; Tables 1–3",Solvent control significantly inhibited too. No mass-normalized doses or identified active molecules; some taxa unresolved.,Original full text: relevant methods/results checked,P075,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf
Bauhinia sp.,3 — Tentative,Paired-choice university report; solvent confound,Leaves; ethanol extracts,Unresolved; qualitative phytochemical tests,Report describes decline of fungal inocula,2% v/v extract; 7 plates/treatment; four weeks,Ten plants initially without cutting signs; accepted Schinus/Nageia also inhibited,Atta cephalotes; L. gongylophorus,eafit_report,"PDF pp.4–5,10–14; Tables 1–3",Solvent control significantly inhibited too. No mass-normalized doses or identified active molecules; some taxa unresolved.,Original full text: relevant methods/results checked,P076,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf
Croton magdalenensis,3 — Tentative,Paired-choice university report; solvent confound,Leaves; ethanol extracts,Unresolved; qualitative phytochemical tests,Report describes decline of fungal inocula,2% v/v extract; 7 plates/treatment; four weeks,Ten plants initially without cutting signs; accepted Schinus/Nageia also inhibited,Atta cephalotes; L. gongylophorus,eafit_report,"PDF pp.4–5,10–14; Tables 1–3",Solvent control significantly inhibited too. No mass-normalized doses or identified active molecules; some taxa unresolved.,Original full text: relevant methods/results checked,P077,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf
Hamelia patens,3 — Tentative,Paired-choice university report; solvent confound,Leaves; ethanol extracts,Unresolved; qualitative phytochemical tests,Report describes decline of fungal inocula,2% v/v extract; 7 plates/treatment; four weeks,Ten plants initially without cutting signs; accepted Schinus/Nageia also inhibited,Atta cephalotes; L. gongylophorus,eafit_report,"PDF pp.4–5,10–14; Tables 1–3",Solvent control significantly inhibited too. No mass-normalized doses or identified active molecules; some taxa unresolved.,Original full text: relevant methods/results checked,P078,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf
Licania sp.,3 — Tentative,Paired-choice university report; solvent confound,Leaves; ethanol extracts,Unresolved; qualitative phytochemical tests,Report describes decline of fungal inocula,2% v/v extract; 7 plates/treatment; four weeks,Ten plants initially without cutting signs; accepted Schinus/Nageia also inhibited,Atta cephalotes; L. gongylophorus,eafit_report,"PDF pp.4–5,10–14; Tables 1–3",Solvent control significantly inhibited too. No mass-normalized doses or identified active molecules; some taxa unresolved.,Original full text: relevant methods/results checked,P079,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf
Nageia rospigliossi (as reported; spelling to verify),3 — Tentative,Paired-choice university report; solvent confound,Leaves; ethanol extracts,Unresolved; qualitative phytochemical tests,Report describes decline of fungal inocula,2% v/v extract; 7 plates/treatment; four weeks,Ten plants initially without cutting signs; accepted Schinus/Nageia also inhibited,Atta cephalotes; L. gongylophorus,eafit_report,"PDF pp.4–5,10–14; Tables 1–3",Solvent control significantly inhibited too. No mass-normalized doses or identified active molecules; some taxa unresolved.,Original full text: relevant methods/results checked,P080,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf
Psidium guajava,3 — Tentative,Paired-choice university report; solvent confound,Leaves; ethanol extracts,Unresolved; qualitative phytochemical tests,Report describes decline of fungal inocula,2% v/v extract; 7 plates/treatment; four weeks,Ten plants initially without cutting signs; accepted Schinus/Nageia also inhibited,Atta cephalotes; L. gongylophorus,eafit_report,"PDF pp.4–5,10–14; Tables 1–3",Solvent control significantly inhibited too. No mass-normalized doses or identified active molecules; some taxa unresolved.,Original full text: relevant methods/results checked,P081,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf
Schinus terebinthifolia,3 — Tentative,Paired-choice university report; solvent confound,Leaves; ethanol extracts,Unresolved; qualitative phytochemical tests,Report describes decline of fungal inocula,2% v/v extract; 7 plates/treatment; four weeks,Ten plants initially without cutting signs; accepted Schinus/Nageia also inhibited,Atta cephalotes; L. gongylophorus,eafit_report,"PDF pp.4–5,10–14; Tables 1–3",Solvent control significantly inhibited too. No mass-normalized doses or identified active molecules; some taxa unresolved.,Original full text: relevant methods/results checked,P082,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf
Tradescantia zebrina,3 — Tentative,Paired-choice university report; solvent confound,Leaves; ethanol extracts,Unresolved; qualitative phytochemical tests,Report describes decline of fungal inocula,2% v/v extract; 7 plates/treatment; four weeks,Ten plants initially without cutting signs; accepted Schinus/Nageia also inhibited,Atta cephalotes; L. gongylophorus,eafit_report,"PDF pp.4–5,10–14; Tables 1–3",Solvent control significantly inhibited too. No mass-normalized doses or identified active molecules; some taxa unresolved.,Original full text: relevant methods/results checked,P083,https://repository.eafit.edu.co/bitstreams/cc608e9d-bbe4-4b2d-99fd-4188ae3d29cc/download,sources/eafit_report.pdf
Lavender (species unresolved),3 — Tentative,2026 conference abstract,Essential-oil extraction decoction water; ethyl-acetate fraction,Unresolved,86% inhibition,Dose/species not verified,No choice evidence,L. gongylophorus,oiano2026,"Institutional abstract, SBQ p.1136",Resolve taxon and dose before selecting material.,Original institutional abstract only,P084,https://www.alice.cnptia.embrapa.br/handle/doc/1189406,
Pinus sp.,3 — Tentative,2026 conference abstract,Stem resin fractions,Unresolved,54–56% inhibition,Dose not verified,No choice evidence,L. gongylophorus,oiano2026,"Institutional abstract, SBQ p.1136",Genus-only result cannot support species recommendation.,Original institutional abstract only,P085,https://www.alice.cnptia.embrapa.br/handle/doc/1189406,
Otoba parvifolia,3 — Tentative,Weak isolated-lignan effect,Fruits,Philygenol (lignan 4),"80% remaining growth, equivalent to20% inhibition",200 µg/mL; visual growth at 30–35 days,Natural avoidance not established,Atta sexdens rubropilosa; Leucocoprinus gongylophorus as reported,pagnocca1996,PDF 2 plant origin; PDF 3 Fig 1; PDF 4 Table 1,"Downgraded after full-text review: weak effect without uncertainty estimate, not a strong antifungal hit.",Original full text: relevant methods/results checked,P086,https://repositorio.unesp.br/entities/publication/44608eaa-b84f-4614-8e00-6f6fb9c5caf1,sources/pagnocca1996.pdf
Virola sp.,3 — Tentative,Isolated-lignan assay; species unresolved,Leaves,Episesamin (3); epigalgravin (7); lignan 8,Epigalgravin <20% growth; episesamin and lignan 8 each100% growth,Each200 µg/mL; visual growth 30–35 days,Natural avoidance not established,Atta sexdens rubropilosa; Leucocoprinus gongylophorus as reported,pagnocca1996,PDF 2 origins; PDF 3 Fig 1; PDF 4 Table 1,Do not assign these results to V. sebifera. Species unresolved; epigalgravin table/prose conflict (<20% growth versus complete inhibition). Lignan8 not assigned a guessed name.,Original full text: relevant methods/results checked,P087,https://repositorio.unesp.br/entities/publication/44608eaa-b84f-4614-8e00-6f6fb9c5caf1,sources/pagnocca1996.pdf
Melampodium divaricatum,2 — Direct assay,Terpenoid assay; plant origin traced to earlier isolation work,"Leaves; historical origin, not guaranteed tested-compound batch",Caryophyllene epoxide; kolavenol,Epoxide: no growth at 0.10 mg/mL and ~75% growth at 0.01 mg/mL; kolavenol no inhibition at 0.11/0.011 mg/mL,Day7 ordinal growth score; triplicate cultures,Kolavenol deters ants despite null fungal effect,"Atta cephalotes; mutualistic fungus, no molecular strain identity",howard1988terpenoids,PDF 3 origins; PDF 5 fungal methods; PDF 7 Table 1,Compound source assignments reported in 1988; original isolation reports not rechecked. Source spells Vismia as Vismea. Natural plant exposure not measured by these fungal assays.,Original full text: relevant methods/results checked,P088,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf
Vismia baccifera,2 — Direct assay,Terpenoid assay; plant origin traced to earlier isolation work,"Leaves; historical origin, not guaranteed tested-compound batch",Caryophyllene epoxide; kolavenol; nerolidol,Epoxide: no growth at 0.10 mg/mL; nerolidol: no growth at 0.14 and ~50% growth at 0.014 mg/mL; kolavenol null,Day7 ordinal growth score; triplicate cultures,Kolavenol deters ants despite null fungal effect,"Atta cephalotes; mutualistic fungus, no molecular strain identity",howard1988terpenoids,PDF 3 origins; PDF 5 fungal methods; PDF 7 Table 1,Compound source assignments reported in 1988; original isolation reports not rechecked. Source spells Vismia as Vismea. Natural plant exposure not measured by these fungal assays.,Original full text: relevant methods/results checked,P089,https://doi.org/10.1007/BF01022531,sources/howard1988terpenoids.pdf
Larrea cuneifolia,3 — Tentative,Behavioral/chemical-defense lead only,Leaves,Phenolic resin,No cultivar-specific positive assay established in this search,See original behavior study,Non-preference/chemical deterrence reported,See original ant species,s2_5e47ee6c34,Original study linked,Response differs between ant populations and field/laboratory; not a clean cultivar-toxicity demonstration.,Discovery lead: original results require validation,P090,https://doi.org/10.4067/S0716-078X2012000200007,
Ziziphus mistol,3 — Tentative,Behavioral/chemical-defense lead only,Leaves,Chemical leaf defenses,No cultivar-specific positive assay established in this search,See original behavior study,Non-preference/chemical deterrence reported,See original ant species,s2_aa2a344d39,Original study linked,Behavioral defense paper; cultivar assay and active molecule require validation.,Discovery lead: original results require validation,P091,https://www.semanticscholar.org/paper/aa2a344d39fae225ca8d901ad0c98702cf4e04a7,
